id,country,eu_region,age_group,age_group_sort,year,gpg_pct,flag_code,flag_note
1,Austria,Western,Under 25,1_Under 25,2010,8.6,,
2,Austria,Western,Under 25,1_Under 25,2014,8.7,,
3,Austria,Western,Under 25,1_Under 25,2018,7.7,,
4,Austria,Western,Under 25,1_Under 25,2022,9.1,,
5,Austria,Western,25-34,2_25-34,2010,14.8,,
6,Austria,Western,25-34,2_25-34,2014,14.1,,
7,Austria,Western,25-34,2_25-34,2018,13.0,,
8,Austria,Western,25-34,2_25-34,2022,11.5,,
9,Austria,Western,35-44,3_35-44,2010,25.2,,
10,Austria,Western,35-44,3_35-44,2014,22.0,,
11,Austria,Western,35-44,3_35-44,2018,18.9,,
12,Austria,Western,35-44,3_35-44,2022,18.1,,
13,Austria,Western,45-54,4_45-54,2010,28.5,,
14,Austria,Western,45-54,4_45-54,2014,26.7,,
15,Austria,Western,45-54,4_45-54,2018,25.3,,
16,Austria,Western,45-54,4_45-54,2022,23.5,,
17,Austria,Western,55-64,5_55-64,2010,36.3,,
18,Austria,Western,55-64,5_55-64,2014,31.6,,
19,Austria,Western,55-64,5_55-64,2018,27.1,,
20,Austria,Western,55-64,5_55-64,2022,24.8,,
21,Austria,Western,65+,6_65+,2010,24.1,,
22,Austria,Western,65+,6_65+,2014,31.7,,
23,Austria,Western,65+,6_65+,2018,33.5,,
24,Austria,Western,65+,6_65+,2022,22.1,,
25,Belgium,Western,Under 25,1_Under 25,2007,3.0,,
26,Belgium,Western,Under 25,1_Under 25,2008,3.0,,
27,Belgium,Western,Under 25,1_Under 25,2009,2.9,,
28,Belgium,Western,Under 25,1_Under 25,2010,3.0,,
29,Belgium,Western,Under 25,1_Under 25,2011,1.9,,
30,Belgium,Western,Under 25,1_Under 25,2012,0.5,,
31,Belgium,Western,Under 25,1_Under 25,2013,-0.8,,
32,Belgium,Western,Under 25,1_Under 25,2014,-2.3,,
33,Belgium,Western,Under 25,1_Under 25,2015,-1.4,,
34,Belgium,Western,Under 25,1_Under 25,2016,-0.8,,
35,Belgium,Western,Under 25,1_Under 25,2017,0.0,,
36,Belgium,Western,Under 25,1_Under 25,2018,1.0,,
37,Belgium,Western,Under 25,1_Under 25,2019,-1.2,,
38,Belgium,Western,Under 25,1_Under 25,2020,-3.8,,
39,Belgium,Western,Under 25,1_Under 25,2021,-6.3,,
40,Belgium,Western,Under 25,1_Under 25,2022,-8.5,,
41,Belgium,Western,Under 25,1_Under 25,2023,-8.3,p,provisional
42,Belgium,Western,Under 25,1_Under 25,2024,-8.3,p,provisional
43,Belgium,Western,25-34,2_25-34,2007,3.6,,
44,Belgium,Western,25-34,2_25-34,2008,3.6,,
45,Belgium,Western,25-34,2_25-34,2009,3.4,,
46,Belgium,Western,25-34,2_25-34,2010,3.5,,
47,Belgium,Western,25-34,2_25-34,2011,3.0,,
48,Belgium,Western,25-34,2_25-34,2012,2.4,,
49,Belgium,Western,25-34,2_25-34,2013,1.7,,
50,Belgium,Western,25-34,2_25-34,2014,1.1,,
51,Belgium,Western,25-34,2_25-34,2015,1.7,,
52,Belgium,Western,25-34,2_25-34,2016,2.1,,
53,Belgium,Western,25-34,2_25-34,2017,2.7,,
54,Belgium,Western,25-34,2_25-34,2018,3.4,,
55,Belgium,Western,25-34,2_25-34,2019,1.8,,
56,Belgium,Western,25-34,2_25-34,2020,-0.7,,
57,Belgium,Western,25-34,2_25-34,2021,-3.1,,
58,Belgium,Western,25-34,2_25-34,2022,-5.2,,
59,Belgium,Western,25-34,2_25-34,2023,-5.0,p,provisional
60,Belgium,Western,25-34,2_25-34,2024,-5.0,p,provisional
61,Belgium,Western,35-44,3_35-44,2007,9.9,,
62,Belgium,Western,35-44,3_35-44,2008,9.9,,
63,Belgium,Western,35-44,3_35-44,2009,9.7,,
64,Belgium,Western,35-44,3_35-44,2010,9.7,,
65,Belgium,Western,35-44,3_35-44,2011,8.8,,
66,Belgium,Western,35-44,3_35-44,2012,7.7,,
67,Belgium,Western,35-44,3_35-44,2013,6.7,,
68,Belgium,Western,35-44,3_35-44,2014,5.7,,
69,Belgium,Western,35-44,3_35-44,2015,5.6,,
70,Belgium,Western,35-44,3_35-44,2016,5.4,,
71,Belgium,Western,35-44,3_35-44,2017,5.3,,
72,Belgium,Western,35-44,3_35-44,2018,5.4,,
73,Belgium,Western,35-44,3_35-44,2019,4.3,,
74,Belgium,Western,35-44,3_35-44,2020,2.7,,
75,Belgium,Western,35-44,3_35-44,2021,1.1,,
76,Belgium,Western,35-44,3_35-44,2022,-0.1,,
77,Belgium,Western,35-44,3_35-44,2023,-0.1,p,provisional
78,Belgium,Western,35-44,3_35-44,2024,-0.1,p,provisional
79,Belgium,Western,45-54,4_45-54,2007,12.1,,
80,Belgium,Western,45-54,4_45-54,2008,12.1,,
81,Belgium,Western,45-54,4_45-54,2009,11.9,,
82,Belgium,Western,45-54,4_45-54,2010,11.9,,
83,Belgium,Western,45-54,4_45-54,2011,10.8,,
84,Belgium,Western,45-54,4_45-54,2012,9.8,,
85,Belgium,Western,45-54,4_45-54,2013,8.7,,
86,Belgium,Western,45-54,4_45-54,2014,7.6,,
87,Belgium,Western,45-54,4_45-54,2015,7.1,,
88,Belgium,Western,45-54,4_45-54,2016,6.3,,
89,Belgium,Western,45-54,4_45-54,2017,5.7,,
90,Belgium,Western,45-54,4_45-54,2018,5.4,,
91,Belgium,Western,45-54,4_45-54,2019,4.5,,
92,Belgium,Western,45-54,4_45-54,2020,3.2,,
93,Belgium,Western,45-54,4_45-54,2021,2.2,,
94,Belgium,Western,45-54,4_45-54,2022,1.3,,
95,Belgium,Western,45-54,4_45-54,2023,1.2,p,provisional
96,Belgium,Western,45-54,4_45-54,2024,1.2,p,provisional
97,Belgium,Western,55-64,5_55-64,2007,17.8,,
98,Belgium,Western,55-64,5_55-64,2008,17.8,,
99,Belgium,Western,55-64,5_55-64,2009,17.6,,
100,Belgium,Western,55-64,5_55-64,2010,17.6,,
101,Belgium,Western,55-64,5_55-64,2011,17.2,,
102,Belgium,Western,55-64,5_55-64,2012,16.7,,
103,Belgium,Western,55-64,5_55-64,2013,16.2,,
104,Belgium,Western,55-64,5_55-64,2014,15.7,,
105,Belgium,Western,55-64,5_55-64,2015,14.2,,
106,Belgium,Western,55-64,5_55-64,2016,12.4,,
107,Belgium,Western,55-64,5_55-64,2017,10.9,,
108,Belgium,Western,55-64,5_55-64,2018,9.4,,
109,Belgium,Western,55-64,5_55-64,2019,9.1,,
110,Belgium,Western,55-64,5_55-64,2020,8.7,,
111,Belgium,Western,55-64,5_55-64,2021,8.2,,
112,Belgium,Western,55-64,5_55-64,2022,8.1,,
113,Belgium,Western,55-64,5_55-64,2023,8.0,p,provisional
114,Belgium,Western,55-64,5_55-64,2024,8.0,p,provisional
115,Belgium,Western,65+,6_65+,2011,7.5,,
116,Belgium,Western,65+,6_65+,2012,10.0,,
117,Belgium,Western,65+,6_65+,2013,12.3,,
118,Belgium,Western,65+,6_65+,2014,14.5,,
119,Belgium,Western,65+,6_65+,2015,14.4,,
120,Bulgaria,Eastern,Under 25,1_Under 25,2007,6.2,,
121,Bulgaria,Eastern,Under 25,1_Under 25,2008,6.0,,
122,Bulgaria,Eastern,Under 25,1_Under 25,2009,6.5,,
123,Bulgaria,Eastern,Under 25,1_Under 25,2010,5.8,,
124,Bulgaria,Eastern,Under 25,1_Under 25,2011,5.9,,
125,Bulgaria,Eastern,Under 25,1_Under 25,2012,7.8,,
126,Bulgaria,Eastern,Under 25,1_Under 25,2013,6.8,,
127,Bulgaria,Eastern,Under 25,1_Under 25,2014,6.7,,
128,Bulgaria,Eastern,Under 25,1_Under 25,2015,8.4,,
129,Bulgaria,Eastern,Under 25,1_Under 25,2016,8.0,,
130,Bulgaria,Eastern,Under 25,1_Under 25,2017,8.0,,
131,Bulgaria,Eastern,Under 25,1_Under 25,2018,8.0,,
132,Bulgaria,Eastern,Under 25,1_Under 25,2019,7.9,,
133,Bulgaria,Eastern,Under 25,1_Under 25,2020,6.1,,
134,Bulgaria,Eastern,Under 25,1_Under 25,2021,5.4,,
135,Bulgaria,Eastern,Under 25,1_Under 25,2022,5.9,,
136,Bulgaria,Eastern,Under 25,1_Under 25,2023,6.9,p,provisional
137,Bulgaria,Eastern,Under 25,1_Under 25,2024,5.3,p,provisional
138,Bulgaria,Eastern,25-34,2_25-34,2007,9.6,,
139,Bulgaria,Eastern,25-34,2_25-34,2008,10.0,,
140,Bulgaria,Eastern,25-34,2_25-34,2009,11.1,,
141,Bulgaria,Eastern,25-34,2_25-34,2010,11.1,,
142,Bulgaria,Eastern,25-34,2_25-34,2011,11.6,,
143,Bulgaria,Eastern,25-34,2_25-34,2012,13.9,,
144,Bulgaria,Eastern,25-34,2_25-34,2013,13.2,,
145,Bulgaria,Eastern,25-34,2_25-34,2014,13.7,,
146,Bulgaria,Eastern,25-34,2_25-34,2015,15.6,,
147,Bulgaria,Eastern,25-34,2_25-34,2016,15.3,,
148,Bulgaria,Eastern,25-34,2_25-34,2017,15.5,,
149,Bulgaria,Eastern,25-34,2_25-34,2018,15.8,,
150,Bulgaria,Eastern,25-34,2_25-34,2019,16.2,,
151,Bulgaria,Eastern,25-34,2_25-34,2020,15.1,,
152,Bulgaria,Eastern,25-34,2_25-34,2021,14.8,,
153,Bulgaria,Eastern,25-34,2_25-34,2022,15.9,,
154,Bulgaria,Eastern,25-34,2_25-34,2023,16.8,p,provisional
155,Bulgaria,Eastern,25-34,2_25-34,2024,15.3,p,provisional
156,Bulgaria,Eastern,35-44,3_35-44,2007,18.4,,
157,Bulgaria,Eastern,35-44,3_35-44,2008,18.5,,
158,Bulgaria,Eastern,35-44,3_35-44,2009,19.4,,
159,Bulgaria,Eastern,35-44,3_35-44,2010,19.2,,
160,Bulgaria,Eastern,35-44,3_35-44,2011,19.3,,
161,Bulgaria,Eastern,35-44,3_35-44,2012,20.9,,
162,Bulgaria,Eastern,35-44,3_35-44,2013,19.9,,
163,Bulgaria,Eastern,35-44,3_35-44,2014,19.9,,
164,Bulgaria,Eastern,35-44,3_35-44,2015,20.9,,
165,Bulgaria,Eastern,35-44,3_35-44,2016,19.8,,
166,Bulgaria,Eastern,35-44,3_35-44,2017,19.3,,
167,Bulgaria,Eastern,35-44,3_35-44,2018,18.8,,
168,Bulgaria,Eastern,35-44,3_35-44,2019,19.4,,
169,Bulgaria,Eastern,35-44,3_35-44,2020,18.7,,
170,Bulgaria,Eastern,35-44,3_35-44,2021,18.8,,
171,Bulgaria,Eastern,35-44,3_35-44,2022,20.1,,
172,Bulgaria,Eastern,35-44,3_35-44,2023,21.0,p,provisional
173,Bulgaria,Eastern,35-44,3_35-44,2024,19.6,p,provisional
174,Bulgaria,Eastern,45-54,4_45-54,2007,13.3,,
175,Bulgaria,Eastern,45-54,4_45-54,2008,14.5,,
176,Bulgaria,Eastern,45-54,4_45-54,2009,16.5,,
177,Bulgaria,Eastern,45-54,4_45-54,2010,17.5,,
178,Bulgaria,Eastern,45-54,4_45-54,2011,17.4,,
179,Bulgaria,Eastern,45-54,4_45-54,2012,18.8,,
180,Bulgaria,Eastern,45-54,4_45-54,2013,17.6,,
181,Bulgaria,Eastern,45-54,4_45-54,2014,17.5,,
182,Bulgaria,Eastern,45-54,4_45-54,2015,18.5,,
183,Bulgaria,Eastern,45-54,4_45-54,2016,17.3,,
184,Bulgaria,Eastern,45-54,4_45-54,2017,16.8,,
185,Bulgaria,Eastern,45-54,4_45-54,2018,16.2,,
186,Bulgaria,Eastern,45-54,4_45-54,2019,15.9,,
187,Bulgaria,Eastern,45-54,4_45-54,2020,14.0,,
188,Bulgaria,Eastern,45-54,4_45-54,2021,13.1,,
189,Bulgaria,Eastern,45-54,4_45-54,2022,13.4,,
190,Bulgaria,Eastern,45-54,4_45-54,2023,14.3,p,provisional
191,Bulgaria,Eastern,45-54,4_45-54,2024,12.8,p,provisional
192,Bulgaria,Eastern,55-64,5_55-64,2007,9.2,,
193,Bulgaria,Eastern,55-64,5_55-64,2008,8.5,,
194,Bulgaria,Eastern,55-64,5_55-64,2009,8.7,,
195,Bulgaria,Eastern,55-64,5_55-64,2010,7.6,,
196,Bulgaria,Eastern,55-64,5_55-64,2011,7.1,,
197,Bulgaria,Eastern,55-64,5_55-64,2012,8.4,,
198,Bulgaria,Eastern,55-64,5_55-64,2013,6.6,,
199,Bulgaria,Eastern,55-64,5_55-64,2014,6.0,,
200,Bulgaria,Eastern,55-64,5_55-64,2015,7.5,,
201,Bulgaria,Eastern,55-64,5_55-64,2016,6.9,,
202,Bulgaria,Eastern,55-64,5_55-64,2017,6.7,,
203,Bulgaria,Eastern,55-64,5_55-64,2018,6.5,,
204,Bulgaria,Eastern,55-64,5_55-64,2019,5.8,,
205,Bulgaria,Eastern,55-64,5_55-64,2020,3.3,,
206,Bulgaria,Eastern,55-64,5_55-64,2021,1.9,,
207,Bulgaria,Eastern,55-64,5_55-64,2022,1.8,,
208,Bulgaria,Eastern,55-64,5_55-64,2023,2.9,p,provisional
209,Bulgaria,Eastern,55-64,5_55-64,2024,1.2,p,provisional
