id,country,year,gpg_pct,flag_code,flag_note,eu_region
1,Austria,2006,25.5,,,Western
2,Austria,2007,25.5,,,Western
3,Austria,2008,25.1,,,Western
4,Austria,2009,24.3,,,Western
5,Austria,2010,24.0,,,Western
6,Austria,2011,23.5,,,Western
7,Austria,2012,22.9,,,Western
8,Austria,2013,22.3,,,Western
9,Austria,2014,22.2,,,Western
10,Austria,2015,21.8,,,Western
11,Austria,2016,20.8,,,Western
12,Austria,2017,20.7,,,Western
13,Austria,2018,20.4,,,Western
14,Austria,2019,20.0,,,Western
15,Austria,2020,19.2,,,Western
16,Austria,2021,19.1,,,Western
17,Austria,2022,18.7,,,Western
18,Austria,2023,18.3,p,provisional,Western
19,Austria,2024,17.6,p,provisional,Western
20,Belgium,2006,9.5,,,Western
21,Belgium,2007,10.1,,,Western
22,Belgium,2008,10.2,,,Western
23,Belgium,2009,10.1,,,Western
24,Belgium,2010,10.2,,,Western
25,Belgium,2011,9.4,,,Western
26,Belgium,2012,8.3,,,Western
27,Belgium,2013,7.5,,,Western
28,Belgium,2014,6.6,,,Western
29,Belgium,2015,6.4,,,Western
30,Belgium,2016,6.0,,,Western
31,Belgium,2017,5.8,,,Western
32,Belgium,2018,5.8,,,Western
33,Belgium,2019,4.7,,,Western
34,Belgium,2020,3.2,,,Western
35,Belgium,2021,1.8,,,Western
36,Belgium,2022,0.7,,,Western
37,Belgium,2023,0.7,p,provisional,Western
38,Belgium,2024,0.7,p,provisional,Western
39,Bulgaria,2002,18.9,,,Eastern
40,Bulgaria,2006,12.4,,,Eastern
41,Bulgaria,2007,12.1,,,Eastern
42,Bulgaria,2008,12.3,,,Eastern
43,Bulgaria,2009,13.3,,,Eastern
44,Bulgaria,2010,13.0,,,Eastern
45,Bulgaria,2011,13.2,,,Eastern
46,Bulgaria,2012,15.1,,,Eastern
47,Bulgaria,2013,14.1,,,Eastern
48,Bulgaria,2014,14.2,,,Eastern
49,Bulgaria,2015,15.5,,,Eastern
50,Bulgaria,2016,14.6,,,Eastern
51,Bulgaria,2017,14.3,,,Eastern
52,Bulgaria,2018,13.9,,,Eastern
