id,country,eu_region,sector,year,gpg_pct,flag_code,flag_note
1,Austria,Western,Accommodation & food,2010,9.9,,
2,Austria,Western,Accommodation & food,2014,7.4,,
3,Austria,Western,Accommodation & food,2015,6.4,,
4,Austria,Western,Accommodation & food,2016,5.9,,
5,Austria,Western,Accommodation & food,2017,5.7,,
6,Austria,Western,Accommodation & food,2018,5.4,,
7,Austria,Western,Accommodation & food,2019,8.0,,
8,Austria,Western,Accommodation & food,2020,7.4,,
9,Austria,Western,Accommodation & food,2021,10.1,,
10,Austria,Western,Accommodation & food,2022,8.0,,
11,Austria,Western,Accommodation & food,2023,7.8,p,provisional
12,Austria,Western,Accommodation & food,2024,7.2,p,provisional
13,Austria,Western,Admin & support,2010,22.5,,
14,Austria,Western,Admin & support,2014,19.5,,
15,Austria,Western,Admin & support,2015,20.0,,
16,Austria,Western,Admin & support,2016,17.8,,
17,Austria,Western,Admin & support,2017,17.4,,
18,Austria,Western,Admin & support,2018,17.1,,
19,Austria,Western,Admin & support,2019,17.3,,
20,Austria,Western,Admin & support,2020,17.0,,
21,Austria,Western,Admin & support,2021,17.2,,
22,Austria,Western,Admin & support,2022,18.2,,
23,Austria,Western,Admin & support,2023,18.6,p,provisional
24,Austria,Western,Admin & support,2024,18.6,p,provisional
25,Austria,Western,Arts & entertainment,2010,34.0,,
26,Austria,Western,Arts & entertainment,2014,26.6,,
27,Austria,Western,Arts & entertainment,2015,26.2,,
28,Austria,Western,Arts & entertainment,2016,20.8,,
29,Austria,Western,Arts & entertainment,2017,19.1,,
30,Austria,Western,Arts & entertainment,2018,18.3,,
31,Austria,Western,Arts & entertainment,2019,19.9,,
32,Austria,Western,Arts & entertainment,2020,20.1,,
33,Austria,Western,Arts & entertainment,2021,23.0,,
34,Austria,Western,Arts & entertainment,2022,23.3,,
35,Austria,Western,Arts & entertainment,2023,23.6,p,provisional
36,Austria,Western,Arts & entertainment,2024,22.7,p,provisional
37,Austria,Western,Construction,2010,9.9,,
38,Austria,Western,Construction,2014,8.2,,
39,Austria,Western,Construction,2015,8.2,,
40,Austria,Western,Construction,2016,8.3,,
41,Austria,Western,Construction,2017,8.3,,
42,Austria,Western,Construction,2018,8.3,,
43,Austria,Western,Construction,2019,8.3,,
44,Austria,Western,Construction,2020,8.1,,
45,Austria,Western,Construction,2021,8.0,,
46,Austria,Western,Construction,2022,7.7,,
47,Austria,Western,Construction,2023,7.4,p,provisional
48,Austria,Western,Construction,2024,7.4,p,provisional
49,Austria,Western,Education,2010,27.8,,
50,Austria,Western,Education,2014,24.3,,
51,Austria,Western,Education,2015,24.2,,
52,Austria,Western,Education,2016,24.3,,
53,Austria,Western,Education,2017,23.7,,
54,Austria,Western,Education,2018,23.6,,
55,Austria,Western,Education,2019,23.5,,
56,Austria,Western,Education,2020,23.4,,
57,Austria,Western,Education,2021,23.2,,
58,Austria,Western,Education,2022,22.8,,
59,Austria,Western,Education,2023,22.2,p,provisional
60,Austria,Western,Education,2024,21.3,p,provisional
61,Austria,Western,Electricity & gas,2010,23.6,,
62,Austria,Western,Electricity & gas,2014,19.8,,
63,Austria,Western,Electricity & gas,2015,17.6,,
64,Austria,Western,Electricity & gas,2016,13.2,,
65,Austria,Western,Electricity & gas,2017,13.0,,
66,Austria,Western,Electricity & gas,2018,14.4,,
67,Austria,Western,Electricity & gas,2019,14.7,,
68,Austria,Western,Electricity & gas,2020,15.0,,
69,Austria,Western,Electricity & gas,2021,15.2,,
70,Austria,Western,Electricity & gas,2022,15.4,,
71,Austria,Western,Electricity & gas,2023,15.4,p,provisional
72,Austria,Western,Electricity & gas,2024,15.9,p,provisional
73,Austria,Western,Finance & insurance,2010,30.3,,
74,Austria,Western,Finance & insurance,2014,30.4,,
75,Austria,Western,Finance & insurance,2015,30.3,,
76,Austria,Western,Finance & insurance,2016,27.1,,
77,Austria,Western,Finance & insurance,2017,28.4,,
78,Austria,Western,Finance & insurance,2018,28.2,,
79,Austria,Western,Finance & insurance,2019,27.9,,
80,Austria,Western,Finance & insurance,2020,26.9,,
81,Austria,Western,Finance & insurance,2021,26.9,,
82,Austria,Western,Finance & insurance,2022,26.7,,
83,Austria,Western,Finance & insurance,2023,26.0,p,provisional
84,Austria,Western,Finance & insurance,2024,25.6,p,provisional
85,Austria,Western,Health & social work,2010,12.0,,
86,Austria,Western,Health & social work,2014,12.8,,
87,Austria,Western,Health & social work,2015,12.9,,
88,Austria,Western,Health & social work,2016,14.5,,
89,Austria,Western,Health & social work,2017,15.0,,
90,Austria,Western,Health & social work,2018,15.3,,
91,Austria,Western,Health & social work,2019,14.5,,
92,Austria,Western,Health & social work,2020,13.4,,
93,Austria,Western,Health & social work,2021,11.1,,
94,Austria,Western,Health & social work,2022,9.8,,
95,Austria,Western,Health & social work,2023,9.2,p,provisional
96,Austria,Western,Health & social work,2024,8.6,p,provisional
97,Austria,Western,ICT,2010,21.2,,
98,Austria,Western,ICT,2014,22.9,,
99,Austria,Western,ICT,2015,22.4,,
100,Austria,Western,ICT,2016,20.9,,
101,Austria,Western,ICT,2017,20.6,,
102,Austria,Western,ICT,2018,20.7,,
103,Austria,Western,ICT,2019,20.6,,
104,Austria,Western,ICT,2020,20.6,,
105,Austria,Western,ICT,2021,20.5,,
106,Austria,Western,ICT,2022,20.3,,
107,Austria,Western,ICT,2023,20.0,p,provisional
108,Austria,Western,ICT,2024,19.9,p,provisional
109,Austria,Western,Manufacturing,2010,24.4,,
110,Austria,Western,Manufacturing,2014,23.0,,
111,Austria,Western,Manufacturing,2015,22.7,,
112,Austria,Western,Manufacturing,2016,21.9,,
113,Austria,Western,Manufacturing,2017,21.7,,
114,Austria,Western,Manufacturing,2018,21.4,,
115,Austria,Western,Manufacturing,2019,20.2,,
116,Austria,Western,Manufacturing,2020,18.4,,
