country,eu_region,age_group,age_sort,year,gpg_pct,eu_age_avg,flag_code,flag_note
Austria,Western,Under 25,1,2010,8.6,2.72,,
Austria,Western,Under 25,1,2014,8.7,5.16,,
Austria,Western,Under 25,1,2018,7.7,5.73,,
Austria,Western,Under 25,1,2022,9.1,3.28,,
Austria,Western,25-34,2,2010,14.8,7.16,,
Austria,Western,25-34,2,2014,14.1,7.17,,
Austria,Western,25-34,2,2018,13.0,8.94,,
Austria,Western,25-34,2,2022,11.5,6.78,,
Austria,Western,35-44,3,2010,25.2,15.48,,
Austria,Western,35-44,3,2014,22.0,14.7,,
Austria,Western,35-44,3,2018,18.9,13.94,,
Austria,Western,35-44,3,2022,18.1,11.52,,
Austria,Western,45-54,4,2010,28.5,16.57,,
Austria,Western,45-54,4,2014,26.7,16.74,,
Austria,Western,45-54,4,2018,25.3,15.12,,
Austria,Western,45-54,4,2022,23.5,13.43,,
Austria,Western,55-64,5,2010,36.3,15.43,,
Austria,Western,55-64,5,2014,31.6,15.93,,
Austria,Western,55-64,5,2018,27.1,13.76,,
Austria,Western,55-64,5,2022,24.8,12.52,,
Austria,Western,65+,6,2010,24.1,18.47,,
Austria,Western,65+,6,2014,31.7,21.67,,
Austria,Western,65+,6,2018,33.5,16.23,,
Austria,Western,65+,6,2022,22.1,11.97,,
Belgium,Western,Under 25,1,2007,3.0,3.08,,
Belgium,Western,Under 25,1,2008,3.0,4.68,,
Belgium,Western,Under 25,1,2009,2.9,3.0,,
Belgium,Western,Under 25,1,2010,3.0,2.72,,
Belgium,Western,Under 25,1,2011,1.9,3.78,,
Belgium,Western,Under 25,1,2012,0.5,4.63,,
Belgium,Western,Under 25,1,2013,-0.8,4.87,,
Belgium,Western,Under 25,1,2014,-2.3,5.16,,
Belgium,Western,Under 25,1,2015,-1.4,6.19,,
Belgium,Western,Under 25,1,2016,-0.8,6.24,,
Belgium,Western,Under 25,1,2017,0.0,6.57,,
Belgium,Western,Under 25,1,2018,1.0,5.73,,
Belgium,Western,Under 25,1,2019,-1.2,5.31,,
Belgium,Western,Under 25,1,2020,-3.8,4.8,,
Belgium,Western,Under 25,1,2021,-6.3,3.93,,
Belgium,Western,Under 25,1,2022,-8.5,3.28,,
Belgium,Western,Under 25,1,2023,-8.3,4.35,p,provisional
Belgium,Western,Under 25,1,2024,-8.3,4.3,p,provisional
Belgium,Western,25-34,2,2007,3.6,7.11,,
Belgium,Western,25-34,2,2008,3.6,9.05,,
Belgium,Western,25-34,2,2009,3.4,7.83,,
Belgium,Western,25-34,2,2010,3.5,7.16,,
Belgium,Western,25-34,2,2011,3.0,7.24,,
Belgium,Western,25-34,2,2012,2.4,7.71,,
Belgium,Western,25-34,2,2013,1.7,6.79,,
Belgium,Western,25-34,2,2014,1.1,7.17,,
Belgium,Western,25-34,2,2015,1.7,8.35,,
Belgium,Western,25-34,2,2016,2.1,8.51,,
Belgium,Western,25-34,2,2017,2.7,8.9,,
Belgium,Western,25-34,2,2018,3.4,8.94,,
Belgium,Western,25-34,2,2019,1.8,8.9,,
Belgium,Western,25-34,2,2020,-0.7,7.92,,
Belgium,Western,25-34,2,2021,-3.1,7.56,,
Belgium,Western,25-34,2,2022,-5.2,6.78,,
Belgium,Western,25-34,2,2023,-5.0,7.65,p,provisional
Belgium,Western,25-34,2,2024,-5.0,7.13,p,provisional
Belgium,Western,35-44,3,2007,9.9,13.82,,
Belgium,Western,35-44,3,2008,9.9,16.9,,
Belgium,Western,35-44,3,2009,9.7,15.85,,
Belgium,Western,35-44,3,2010,9.7,15.48,,
