year,eu_avg_gap,highest_gap_country,highest_gap_pct,lowest_gap_country,lowest_gap_pct,countries_above_avg,gap_range,largest_improvement_country,largest_improvement_pp
2006,16.1,Estonia,29.8,Italy,4.4,14,25.4,,
2007,16.8,Estonia,30.9,Slovenia,5.0,15,25.9,,
2008,15.9,Estonia,27.6,Slovenia,4.1,15,23.5,,
2009,14.8,Estonia,26.6,Slovenia,-0.9,14,27.5,,
2010,14.3,Estonia,27.7,Slovenia,0.9,15,26.8,,
2011,14.7,Estonia,27.3,Slovenia,3.3,13,24.0,,
2012,15.1,Estonia,29.9,Slovenia,4.5,14,25.4,,
2013,14.4,Estonia,29.8,Romania,4.9,14,24.9,,
2014,14.2,Estonia,28.1,Romania,4.5,15,23.6,,
2015,14.3,Estonia,26.7,Luxembourg,4.7,12,22.0,,
2016,13.9,Estonia,24.8,Luxembourg,3.9,16,20.9,,
2017,13.7,Estonia,24.9,Luxembourg,2.6,14,22.3,,
2018,12.9,Estonia,21.8,Luxembourg,1.4,14,20.4,,
2019,12.6,Estonia,21.6,Luxembourg,0.9,13,20.7,,
2020,11.3,Latvia,23.2,Luxembourg,0.3,13,22.9,,
2021,10.9,Estonia,20.3,Luxembourg,-0.2,14,20.5,,
2022,11.2,Estonia,21.1,Luxembourg,-0.7,14,21.8,,
2023,10.9,Estonia,19.6,Luxembourg,-0.9,16,20.5,,
2024,10.5,Estonia,18.8,Luxembourg,-0.8,15,19.6,Netherlands,-12.4
