DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Albania,2018,34.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2010,18.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2014,15.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2015,13.7,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2016,14.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2017,10.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2018,7.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2019,7.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2020,10.9,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2021,9.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2022,14.3,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2023,12.8,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Austria,2024,14.2,p,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2007,-7.2,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2008,-8.8,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2009,-10.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2010,-13.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2011,-10.4,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2012,-7.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2013,-4.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2014,-1.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2015,-1.5,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2016,-2.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2017,-2.6,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2018,-3.1,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2019,-2.0,,
ESTAT:EARN_GR_GPGR2(1.0),26/02/26 23:00:00,Annual,Percentage,Mining and quarrying,Belgium,2020,-1.0,,
