DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Albania,2018,1.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Austria,2010,14.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Austria,2014,14.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Austria,2018,13.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Austria,2022,11.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2007,3.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2008,3.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2009,3.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2010,3.5,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2011,3.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2012,2.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2013,1.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2014,1.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2015,1.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2016,2.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2017,2.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2018,3.4,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2019,1.8,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2020,-0.7,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2021,-3.1,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2022,-5.2,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2023,-5,p,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Belgium,2024,-5,p,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Bulgaria,2007,9.6,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Bulgaria,2008,10.0,,
ESTAT:EARN_GR_GPGR2AG(1.0),02/03/26 23:00:00,Annual,Percentage,From 25 to 34 years,Bulgaria,2009,11.1,,
